CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_score,Segment
12346,327,1,77183.6,1,5,1,151,Inactive
12347,41,182,4310.0,4,1,1,411,Inactive
12348,77,31,1797.24,3,3,2,332,Potential Loyalists
12349,20,73,1757.55,4,2,2,422,Inactive
12350,312,17,334.4,1,4,4,144,Inactive
12352,74,85,2506.04,3,2,1,321,Inactive
12353,205,4,89.0,1,5,5,155,Inactive
12354,234,58,1079.4,1,2,2,122,Inactive
12355,97,13,459.4,2,5,4,254,Potential Loyalists
12356,24,59,2811.43,4,2,1,421,Inactive
12357,183,131,6207.67,2,1,1,211,Inactive
12358,4,19,1168.06,5,4,2,542,Potential Loyalists
12359,10,245,6310.03,5,1,1,511,Inactive
12360,54,129,2662.06,3,1,1,311,Inactive
12361,289,10,189.9,1,5,5,155,Inactive
12362,31,266,5226.23,4,1,1,411,Inactive
12363,37,23,552.0,4,4,3,443,Consistent Buyers
12364,42,85,1313.1,4,2,2,422,Inactive
12365,293,22,641.38,1,4,3,143,Inactive
12367,213,11,168.9,1,5,5,155,Inactive
12370,53,166,3541.94,3,1,1,311,Inactive
12371,31,63,1887.96,4,2,2,422,Inactive
12372,36,52,1298.04,4,3,2,432,Potential Loyalists
12373,343,14,364.6,1,5,4,154,Inactive
12374,27,33,742.9300000000001,4,3,3,433,Potential Loyalists
12375,12,17,457.5,5,4,4,544,VIP
12377,317,77,1628.12,1,2,2,122,Inactive
12378,306,219,4008.62,1,1,1,111,Inactive
12379,83,40,852.24,3,3,3,333,Potential Loyalists
12380,23,104,2724.81,4,2,1,421,Inactive
12381,1,87,1845.31,5,2,2,522,Inactive
12383,10,99,1850.56,5,2,2,522,Inactive
12384,30,27,585.27,4,4,3,443,Consistent Buyers
12386,193,10,401.9,1,5,4,154,Inactive
12388,17,100,2780.66,5,2,1,521,Inactive
12390,81,32,549.84,3,3,3,333,Potential Loyalists
12391,23,93,439.66,4,2,4,424,Inactive
12393,40,64,1582.6000000000001,4,2,2,422,Inactive
12394,154,27,1272.48,2,4,2,242,Potential Loyalists
12395,6,156,3018.63,5,1,1,511,Inactive
12397,137,126,2409.9,2,1,1,211,Inactive
12398,47,85,1635.6599999999999,3,2,2,322,Inactive
12399,3,59,1108.65,5,2,2,522,Inactive
12401,100,5,84.3,2,5,5,255,Potential Loyalists
12402,325,11,225.6,1,5,5,155,Inactive
12403,51,5,427.7,3,5,4,354,Consistent Buyers
12405,150,54,1710.39,2,3,2,232,Potential Loyalists
12406,23,105,3415.3,4,2,1,421,Inactive
12407,51,77,1708.1200000000001,3,2,2,322,Inactive
12408,153,105,2888.55,2,2,1,221,Inactive
12409,66,109,11072.67,3,2,1,321,Inactive
12410,253,26,693.3299999999999,1,4,3,143,Inactive
12412,76,61,1226.88,3,2,2,322,Inactive
12413,193,38,758.1,1,3,3,133,Inactive
12414,189,18,562.41,2,4,3,243,Potential Loyalists
12415,26,716,124914.53,4,1,1,411,Inactive
12417,41,192,3649.1,4,1,1,411,Inactive
12418,114,34,668.58,2,3,3,233,Potential Loyalists
12420,154,29,600.39,2,4,3,243,Potential Loyalists
12421,17,45,807.04,5,3,3,533,Potential Loyalists
12422,170,39,803.5600000000001,2,3,3,233,Potential Loyalists
12423,90,125,1859.31,2,1,2,212,Inactive
12424,164,30,1760.96,2,3,2,232,Potential Loyalists
12425,79,36,777.2,3,3,3,333,Potential Loyalists
12426,196,30,582.73,1,3,3,133,Inactive
12427,23,31,825.8,4,3,3,433,Potential Loyalists
12428,27,294,7956.46,4,1,1,411,Inactive
12429,10,97,3750.4,5,2,1,521,Inactive
12430,45,11,256.4,3,5,4,354,Consistent Buyers
12431,3,235,6419.95,5,1,1,511,Inactive
12432,44,108,5059.32,4,2,1,421,Inactive
12433,11,420,13375.87,5,1,1,511,Inactive
12434,86,50,806.14,3,3,3,333,Potential Loyalists
12435,81,36,7829.89,3,3,1,331,Inactive
12436,336,16,509.01,1,4,3,143,Inactive
12437,10,200,4951.41,5,1,1,511,Inactive
12438,16,98,2906.85,5,2,1,521,Inactive
12441,486,11,173.55,1,5,5,155,Inactive
12442,182,12,172.06,2,5,5,255,Potential Loyalists
12444,1,177,5005.46,5,1,1,511,Inactive
12445,23,4,133.4,4,5,5,455,VIP
12446,59,58,1002.3100000000001,3,2,2,322,Inactive
12447,68,26,476.49,3,4,4,344,Consistent Buyers
12448,46,22,449.45,3,4,4,344,Consistent Buyers
12449,24,191,4067.29,4,1,1,411,Inactive
12450,175,8,197.88,2,5,5,255,Potential Loyalists
12451,12,354,9035.52,5,1,1,511,Inactive
12452,18,22,430.57,5,4,4,544,VIP
12453,136,43,707.09,2,3,3,233,Potential Loyalists
12454,58,15,3528.34,3,4,1,341,Inactive
12455,75,90,2466.86,3,2,1,321,Inactive
12456,46,125,3181.04,3,1,1,311,Inactive
12457,83,63,2363.23,3,2,1,321,Inactive
12458,73,38,947.4,3,3,2,332,Potential Loyalists
12461,126,35,826.88,2,3,3,233,Potential Loyalists
12462,20,62,1189.59,4,2,2,422,Inactive
12463,7,83,1344.78,5,2,2,522,Inactive
12464,12,29,1212.05,5,4,2,542,Potential Loyalists
12465,19,47,742.1899999999999,5,3,3,533,Potential Loyalists
12468,219,38,729.5400000000001,1,3,3,133,Inactive
12471,12,459,19788.65,5,1,1,511,Inactive
12472,53,339,6572.11,3,1,1,311,Inactive
12473,55,167,3928.0499999999997,3,1,1,311,Inactive
12474,4,422,7324.09,5,1,1,511,Inactive
12475,55,36,723.38,3,3,3,333,Potential Loyalists
12476,17,233,6816.42,5,1,1,511,Inactive
12477,24,300,13219.74,4,1,1,411,Inactive
12478,182,36,680.99,2,3,3,233,Potential Loyalists
12479,13,31,527.2,5,3,3,533,Potential Loyalists
12480,30,154,3281.63,4,1,1,411,Inactive
12481,24,216,5579.82,4,1,1,411,Inactive
12483,19,75,2484.98,5,2,1,521,Inactive
12484,102,343,4527.32,2,1,1,211,Inactive
12488,11,55,1298.66,5,3,2,532,Potential Loyalists
12489,163,15,334.93,2,4,4,244,Potential Loyalists
12490,19,245,5417.93,5,1,1,511,Inactive
12491,334,26,460.40000000000003,1,4,4,144,Inactive
12492,107,20,263.21000000000004,2,4,4,244,Potential Loyalists
12493,167,22,433.74,2,4,4,244,Potential Loyalists
12494,17,77,1246.1000000000001,5,2,2,522,Inactive
12497,83,14,1043.1,3,5,2,352,Potential Loyalists
12498,23,23,403.70000000000005,4,4,4,444,VIP
12500,25,61,4257.82,4,2,1,421,Inactive
12501,163,149,2169.39,2,1,1,211,Inactive
12502,189,147,3723.87,2,1,1,211,Inactive
12504,20,9,482.04999999999995,4,5,4,454,VIP
12506,234,23,73.5,1,4,5,145,Inactive
12507,136,22,1304.81,2,4,2,242,Potential Loyalists
12508,28,68,397.88,4,2,4,424,Inactive
12509,286,7,176.5,1,5,5,155,Inactive
12510,144,33,982.5699999999999,2,3,2,232,Potential Loyalists
12512,245,31,132.18,1,3,5,135,Inactive
12513,114,35,612.29,2,3,3,233,Potential Loyalists
12514,269,51,1017.68,1,3,2,132,Inactive
12515,355,16,383.7,1,4,4,144,Inactive
12516,5,26,1312.06,5,4,2,542,Potential Loyalists
12517,30,279,2481.6,4,1,1,411,Inactive
12518,1,124,2056.89,5,1,1,511,Inactive
12519,154,17,330.84,2,4,4,244,Potential Loyalists
12520,38,152,2634.26,4,1,1,411,Inactive
12521,144,38,599.68,2,3,3,233,Potential Loyalists
12522,41,12,192.72,4,5,5,455,VIP
12523,10,106,1789.77,5,2,2,522,Inactive
12524,11,144,4485.72,5,1,1,511,Inactive
12526,55,71,1316.66,3,2,2,322,Inactive
12527,83,18,348.71000000000004,3,4,4,344,Consistent Buyers
12528,11,92,1933.48,5,2,2,522,Inactive
12530,31,66,1662.28,4,2,2,422,Inactive
12531,16,17,125.22,5,4,5,545,VIP
12532,91,16,349.83000000000004,2,4,4,244,Potential Loyalists
12534,337,63,1089.18,1,2,2,122,Inactive
12535,93,34,716.35,2,3,3,233,Potential Loyalists
12536,31,261,12601.830000000002,4,1,1,411,Inactive
12538,61,21,363.95,3,4,4,344,Consistent Buyers
12539,24,273,5568.35,4,1,1,411,Inactive
